OrderID,OrderDate,CustomerID,Region,Category,Sales
1001,2023-01-03,C001,East,Technology,1200.50
1002,2023-01-05,C002,West,Furniture,450.00
1003,2023-01-07,C003,South,Office Supplies,85.75
1004,2023-01-10,C001,East,Technology,980.00
1005,2023-01-12,C004,North,Furniture,1350.25
1006,2023-01-15,C005,West,Office Supplies,220.00
1007,2023-01-18,C002,West,Technology,560.00
1008,2023-01-20,C006,South,Furniture,890.00
1009,2023-01-22,C003,South,Office Supplies,145.50
1010,2023-01-25,C007,North,Technology,2100.00
1011,2023-02-01,C001,East,Office Supplies,300.00
1012,2023-02-03,C008,East,Technology,1750.00
1013,2023-02-05,C004,North,Office Supplies,95.00
1014,2023-02-08,C009,West,Furniture,670.00
1015,2023-02-10,C005,West,Technology,1400.00
1016,2023-02-14,C002,West,Office Supplies,180.00
1017,2023-02-17,C010,South,Technology,3200.00
1018,2023-02-19,C006,South,Office Supplies,260.00
1019,2023-02-22,C007,North,Furniture,980.50
1020,2023-02-25,C008,East,Office Supplies,115.00
1021,2023-03-02,C003,South,Technology,875.00
1022,2023-03-05,C001,East,Furniture,540.00
1023,2023-03-08,C009,West,Technology,1650.00
1024,2023-03-11,C010,South,Office Supplies,420.00
1025,2023-03-14,C004,North,Technology,2800.00
1026,2023-03-17,C005,West,Furniture,760.00
1027,2023-03-20,C011,East,Technology,1100.00
1028,2023-03-23,C007,North,Office Supplies,190.00
1029,2023-03-26,C002,West,Furniture,630.00
1030,2023-03-29,C012,South,Technology,940.00
1031,2023-04-02,C001,East,Technology,1350.00
1032,2023-04-05,C006,South,Furniture,490.00
1033,2023-04-08,C008,East,Technology,2200.00
1034,2023-04-11,C003,South,Office Supplies,310.00
1035,2023-04-14,C013,North,Technology,1780.00
1036,2023-04-17,C009,West,Furniture,850.00
1037,2023-04-20,C010,South,Technology,3100.00
1038,2023-04-23,C004,North,Office Supplies,240.00
1039,2023-04-26,C011,East,Furniture,720.00
1040,2023-04-29,C012,South,Technology,1020.00
1041,2023-05-02,C005,West,Office Supplies,395.00
1042,2023-05-05,C007,North,Technology,2450.00
1043,2023-05-08,C013,North,Furniture,610.00
1044,2023-05-11,C001,East,Technology,1600.00
1045,2023-05-14,C002,West,Office Supplies,155.00
1046,2023-05-17,C008,East,Technology,1900.00
1047,2023-05-20,C006,South,Office Supplies,280.00
1048,2023-05-23,C014,West,Technology,3450.00
1049,2023-05-26,C003,South,Furniture,520.00
